mobile_name,rating,ram_rom,display,camera,battery,processor,price,mobile_link
"OPPO A3 Pro 5G (Moonlight Purple, 256 GB)",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 5G Mobile Platform Processor,"₹19,999",https://www.flipkart.com/oppo-a3-pro-5g-moonlight-purple-256-gb/p/itmc5f69a7aac2a1?pid=MOBHFHC5ZD4FCG9U&lid=LSTMOBHFHC5ZD4FCG9UKR3WKF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_615&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBHFHC5ZD4FCG9U.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Mi 11 Lite (Vinyl Black, 128 GB)",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 16MP Front Camera,4250 mAh Li-Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹23,999",https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR9UUSWD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_616&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBG3VSKRKGZKJAR.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Apple iPhone 15 Pro (Blue Titanium, 512 GB)",4.6,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹1,21,999",https://www.flipkart.com/apple-iphone-15-pro-blue-titanium-512-gb/p/itm9f1a3ca9f55e5?pid=MOBGTAGPHCTYZHHZ&lid=LSTMOBGTAGPHCTYZHHZIORCCB&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_617&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBGTAGPHCTYZHHZ.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"POCO M6 Plus 5G (Ice Silver, 128 GB)",4.1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor,"₹12,999",https://www.flipkart.com/poco-m6-plus-5g-ice-silver-128-gb/p/itmc28efc9e90d07?pid=MOBH2M2DHZWDKYFE&lid=LSTMOBH2M2DHZWDKYFEJAQ2HD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_618&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBH2M2DHZWDKYFE.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"OPPO A3 Pro 5G (Starry Black, 256 GB)",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 5G Mobile Platform Processor,"₹19,999",https://www.flipkart.com/oppo-a3-pro-5g-starry-black-256-gb/p/itmc5f69a7aac2a1?pid=MOBHFHC5C2N6CHCC&lid=LSTMOBHFHC5C2N6CHCCQZRFUA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_619&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBHFHC5C2N6CHCC.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"SAMSUNG Galaxy M14 4G (Arctic Blue, 64 GB)",4.1,4 GB RAM | 64 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year for handset and 6 month for accessories,"₹8,207",https://www.flipkart.com/samsung-galaxy-m14-4g-arctic-blue-64-gb/p/itm3193199adbbec?pid=MOBGYYZJ8ZUBWGJH&lid=LSTMOBGYYZJ8ZUBWGJHJB9QQP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_620&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBGYYZJ8ZUBWGJH.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Infinix Note 11 (Glacier Green, 64 GB)",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,"₹8,124",https://www.flipkart.com/infinix-note-11-glacier-green-64-gb/p/itm37cf75bb103f9?pid=MOBG9ACWZRMGYNXJ&lid=LSTMOBG9ACWZRMGYNXJQJM5OG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_621&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=f2d25b9b-1b32-4b8d-811a-91c787cc161f.MOBG9ACWZRMGYNXJ.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"vivo V40 5G (Lotus Purple, 256 GB)",4.5,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP | 50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,"₹36,999",https://www.flipkart.com/vivo-v40-5g-lotus-purple-256-gb/p/itm444f2b97f5db4?pid=MOBH33ZXKG7VWUPG&lid=LSTMOBH33ZXKG7VWUPGAFOYWO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_625&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBH33ZXKG7VWUPG.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"vivo V40 5G (Lotus Purple, 128 GB)",4.5,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP | 50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,"₹34,999",https://www.flipkart.com/vivo-v40-5g-lotus-purple-128-gb/p/itm444f2b97f5db4?pid=MOBH33ZXNTFBZGQB&lid=LSTMOBH33ZXNTFBZGQB7C8BVT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_626&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBH33ZXNTFBZGQB.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Apple iPhone 15 Pro (White Titanium, 1 TB)",4.6,1 TB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹1,29,999",https://www.flipkart.com/apple-iphone-15-pro-white-titanium-1-tb/p/itm919dc385c966a?pid=MOBGTAGP2SEFNBYH&lid=LSTMOBGTAGP2SEFNBYHWWM9GG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_627&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=d09fcaed-c0ec-473e-972d-08ca5db9190a.MOBGTAGP2SEFNBYH.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
